,pitches,player_id,player_name,total_pitches,pitch_percent,xwoba,xba,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,vertical_release_point_ft,horizontal_release_point_ft
99,139,656546,"Hoffman, Jeff",1360,10.2,0.164,0.151,136,86.4,16.5,2340,88.9,89.11,36,133,6,0.2,6.48,-1.41,1.41
100,60,500610,"Guerra, Deolis",1086,5.5,0.137,0.123,60,86.9,24.4,2046,85.3,86.52,16,54,6,1.2,7.15,-1.42,1.42
101,243,592826,"Velasquez, Vince",1750,13.9,0.136,0.12,242,87.3,21.6,2268,89.5,89.89,61,221,22,0.4,6.5,-1.43,1.43
102,425,605540,"Woodruff, Brandon",2810,15.1,0.129,0.119,418,83.5,9.5,2364,92.4,92.27,131,380,45,-0.1,6.46,-1.43,1.43
103,266,664353,"Urquidy, José",1631,16.3,0.158,0.14,263,85.7,22.7,2220,87.7,87.23,68,259,7,-0.5,6.02,-1.47,1.47
104,67,592644,"Plutko, Adam",1014,6.6,0.129,0.124,65,87.5,17.9,2342,89.0,88.65,18,62,5,-0.4,6.08,-1.52,1.52
105,353,607200,"Fedde, Erick",2410,14.6,0.151,0.14,340,84.3,2.3,1993,88.7,89.24,85,320,33,0.5,6.7,-1.52,1.52
106,315,608379,"Wacha, Michael",1974,16.0,0.165,0.149,310,87.3,13.6,1879,90.1,90.73,90,300,15,0.6,6.76,-1.54,1.54
107,325,666120,"Anderson, Ian",2175,14.9,0.136,0.13,319,83.4,6.2,1888,90.3,91.13,89,299,26,0.8,6.91,-1.54,1.54
108,425,608337,"Giolito, Lucas",2970,14.3,0.129,0.116,421,84.5,19.4,1922,86.8,87.59,140,398,27,0.8,6.69,-1.56,1.56
109,378,592791,"Taillon, Jameson",2372,15.9,0.135,0.116,372,85.7,22.2,2463,90.3,90.96,108,359,19,0.7,6.69,-1.56,1.56
110,53,608335,"Funkhouser, Kyle",1189,4.5,0.133,0.137,52,84.0,-1.8,2159,92.8,93.38,15,50,3,0.6,6.56,-1.58,1.58
111,25,608717,"Stratton, Chris",1374,1.8,0.083,0.083,24,88.1,24.5,2711,88.8,89.32,6,21,4,0.5,6.52,-1.59,1.59
112,412,506433,"Darvish, Yu",2769,14.9,0.109,0.101,408,85.1,16.9,2578,87.3,87.0,125,367,45,-0.3,6.26,-1.6,1.6
113,152,664299,"Javier, Cristian",1792,8.5,0.125,0.109,150,88.8,26.6,2419,88.2,87.66,55,136,16,-0.5,5.99,-1.6,1.6
114,200,607192,"Glasnow, Tyler",1339,14.9,0.109,0.097,200,88.3,13.5,2656,91.1,92.69,78,180,20,1.6,7.33,-1.61,1.61
115,457,554430,"Wheeler, Zack",3205,14.3,0.123,0.119,448,81.1,5.6,2363,94.2,95.27,121,399,58,1.1,7.16,-1.61,1.61
116,161,656288,"Canning, Griffin",1080,14.9,0.131,0.121,160,85.5,20.2,2311,89.9,88.52,40,147,14,-1.4,5.81,-1.63,1.63
117,275,656605,"Keller, Mitch",1858,14.8,0.149,0.139,268,87.4,10.8,2377,89.7,89.48,63,251,24,-0.2,6.09,-1.63,1.63
118,401,621121,"McCullers Jr., Lance",2788,14.4,0.129,0.124,399,88.0,3.4,2491,88.4,87.74,119,366,35,-0.7,5.96,-1.64,1.64
119,443,656302,"Cease, Dylan",2957,15.0,0.127,0.103,435,86.2,21.0,2638,89.8,88.97,158,397,46,-0.8,6.03,-1.64,1.64
120,390,677651,"Garcia, Luis",2502,15.6,0.138,0.124,383,84.1,16.1,2312,87.1,86.97,122,362,28,-0.1,6.19,-1.65,1.65
121,121,642092,"Smith, Riley",1071,11.3,0.19,0.178,118,87.2,6.3,2153,88.2,88.24,9,114,7,0.0,6.36,-1.65,1.65
122,379,518876,"Kelly, Merrill",2425,15.6,0.154,0.15,369,84.5,12.2,2307,88.6,88.54,75,349,30,-0.1,6.28,-1.68,1.68
123,248,545333,"Bauer, Trevor",1787,13.9,0.124,0.114,247,87.6,20.5,2809,88.1,82.47,77,213,35,-5.6,6.42,-1.69,1.69
124,237,593334,"Germán, Domingo",1579,15.0,0.149,0.134,236,86.3,18.7,2460,88.4,88.01,59,221,16,-0.4,6.11,-1.7,1.7
125,43,572955,"Johnson, Pierce",1045,4.1,0.086,0.078,42,85.7,18.9,2737,87.0,86.23,17,39,4,-0.8,5.76,-1.7,1.7
126,408,601713,"Pivetta, Nick",2745,14.9,0.13,0.119,403,86.7,18.3,2395,88.7,88.99,112,364,44,0.3,6.57,-1.7,1.7
127,60,664208,"Maton, Phil",1174,5.1,0.088,0.079,58,86.8,10.8,2663,85.7,87.18,24,51,9,1.5,7.13,-1.73,1.73
128,304,605347,"López, Jorge",2166,14.0,0.15,0.145,300,86.0,5.7,2007,91.4,91.53,61,265,39,0.1,6.37,-1.75,1.75
