pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,horizontal_release_point_ft
137,621111,"Buehler, Walker",3152,4.3,0,0,0,0,0,0.158,0.143,0,137,85.6,18.5,2511,90.7,91.03,28,123,14,0.3,6.41,115,160,125,152,298,319,296,-0.89
151,605280,"Holmes, Clay",1124,13.4,0,0,0,0,0,0.105,0.109,0,150,85,-13.8,2330,93.1,92.9,41,131,20,-0.2,6.14,111,152,122,148,299,320,288,-0.99
134,622251,"Staumont, Josh",1096,12.2,0,0,0,0,0,0.16,0.142,0,134,89.6,22.7,2441,89.9,90.35,37,119,15,0.5,6.59,108,157,119,146,301,323,299,-1
121,468504,"Chacín, Jhoulys",1070,11.3,0,0,0,0,0,0.16,0.152,0,121,84.2,13.9,2368,88.4,88.17,26,116,5,-0.2,5.91,113,151,125,148,298,329,304,-1.01
147,543507,"May, Trevor",1117,13.2,0,0,0,0,0,0.082,0.078,0,147,87.2,20,2312,92.2,93.33,59,138,9,1.1,6.98,115,156,119,149,300,326,298,-1.01
193,433589,"Petit, Yusmeiro",1082,17.8,0,0,0,0,0,0.183,0.165,0,190,83.4,22.4,2027,83.4,84.25,26,189,4,0.8,7.08,110,150,123,151,301,327,299,-1.05
142,425794,"Wainwright, Adam",3068,4.6,0,0,0,0,0,0.145,0.134,0,142,83.8,10.6,2486,81.6,81.8,24,127,15,0.2,6.49,120,160,122,149,298,319,299,-1.12
122,622250,"Sborz, Josh",1079,11.3,0,0,0,0,0,0.139,0.133,0,121,87.9,12.2,2236,92.7,91.99,35,111,11,-0.7,5.91,111,153,126,146,299,324,294,-1.14
106,608716,"Steckenrider, Drew",1008,10.5,0,0,0,0,0,0.16,0.142,0,105,89.7,21.8,2182,90.5,89.95,24,98,8,-0.5,6.01,112,153,116,147,297,323,295,-1.15
112,615698,"Quantrill, Cal",2357,4.8,0,0,0,0,0,0.166,0.153,0,109,84.2,9.8,1968,90.9,91.56,23,104,8,0.7,6.55,109,152,124,148,291,317,292,-1.27
148,542585,"Cisnero, José",1067,13.9,0,0,0,0,0,0.123,0.119,0,146,82.9,13.5,2380,94.2,93.91,37,134,14,-0.3,6.06,109,155,124,149,300,326,298,-1.39
107,500610,"Guerra, Deolis",1086,9.9,0,0,0,0,0,0.097,0.093,0,105,82.2,25,1973,85.5,86.9,28,101,6,1.4,7.17,112,150,123,150,298,327,299,-1.4
129,614179,"Ruiz, José",1037,12.4,0,0,0,0,0,0.158,0.142,0,127,89.3,13.5,2343,92.3,91.86,28,117,12,-0.4,6.01,111,150,118,148,298,319,295,-1.46
125,608335,"Funkhouser, Kyle",1189,10.5,0,0,0,0,0,0.137,0.13,0,123,83.6,9.3,2170,93,93.66,33,117,8,0.7,6.59,109,155,122,148,298,326,298,-1.5
133,664299,"Javier, Cristian",1792,7.4,0,0,0,0,0,0.149,0.136,0,132,86.6,22.9,2417,88.8,87.52,43,121,12,-1.3,6,112,155,121,150,291,323,292,-1.52
