pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,vertical_release_point_ft
239,669212,"Morgan, Eli",1414,16.9,0,0,0,0,0,0.17,0.15,0,236,85.9,20.9,2176,84.4,84.29,59,224,15,-0.1,6.11,113,154,120,150,292,315,291,-0.82
466,621111,"Buehler, Walker",3152,14.8,0,0,0,0,0,0.131,0.123,0,456,84.3,8.4,2547,90.7,90.65,122,421,45,-0.1,6.38,112,156,120,151,297,317,294,-0.9
416,543475,"Lyles, Jordan",2964,14,0,0,0,0,0,0.165,0.148,0,408,86.4,15.4,2409,87.6,88.26,96,390,26,0.7,6.72,112,155,124,147,300,325,296,-0.92
174,596133,"Weaver, Luke",1109,15.7,0,0,0,0,0,0.177,0.153,0,170,85.8,11.2,2218,90.3,89.73,43,162,12,-0.6,5.95,113,154,122,151,302,329,301,-0.97
438,573186,"Stroman, Marcus",2741,16,0,0,0,0,0,0.187,0.17,0,426,85.3,2.7,2317,88.7,88.29,96,399,39,-0.4,5.83,112,155,118,149,295,323,296,-1.06
135,656876,"Rasmussen, Drew",1202,11.2,0,0,0,0,0,0.172,0.165,0,134,89.3,6.5,2466,92.7,93.11,24,124,11,0.4,6.51,111,153,115,152,296,323,295,-1.11
240,660623,"Ynoa, Huascar",1482,16.2,0,0,0,0,0,0.133,0.126,0,237,85.8,5,2283,90.5,90.32,67,214,26,-0.2,6.11,111,151,126,148,300,320,296,-1.11
215,594798,"deGrom, Jacob",1226,17.5,0,0,0,0,0,0.093,0.082,0,214,83.8,16.4,2426,95.8,97.02,102,198,17,1.2,6.89,118,155,119,151,296,324,300,-1.11
448,593423,"Montas, Frankie",3028,14.8,0,0,0,0,0,0.134,0.121,0,443,86.4,11.9,2183,93.1,92.22,144,425,23,-0.9,5.96,111,150,125,151,299,325,300,-1.16
449,425794,"Wainwright, Adam",3068,14.6,0,0,0,0,0,0.169,0.163,0,445,86.1,7.3,2450,82.8,82.54,76,397,52,-0.3,6.49,115,156,119,148,298,319,297,-1.18
138,676840,"Peacock, Matt",1323,10.4,0,0,0,0,0,0.146,0.144,0,136,85.2,-0.4,2196,91.2,81.2,25,135,3,-10,5.34,109,151,118,150,298,325,294,-1.2
283,543606,"Odorizzi, Jake",1847,15.3,0,0,0,0,0,0.154,0.133,0,278,86.1,19.1,1898,88.1,86.89,77,274,9,-1.2,6.07,113,156,122,151,291,321,291,-1.2
320,663903,"Singer, Brady",2287,14,0,0,0,0,0,0.138,0.129,0,317,84.9,7.1,2334,89.6,90.12,87,291,29,0.5,6.53,108,159,119,147,297,322,300,-1.2
237,503449,"Peralta, Wily",1554,15.3,0,0,0,0,0,0.164,0.152,0,230,85.8,5.5,1591,87.8,87.15,44,230,7,-0.7,5.74,110,157,122,149,298,326,298,-1.2
267,548389,"Stripling, Ross",1686,15.8,0,0,0,0,0,0.158,0.133,0,263,86.5,18.5,2151,87.9,87.54,67,251,16,-0.4,6.02,108,156,124,148,298,317,288,-1.21
218,669456,"Bieber, Shane",1559,14,0,0,0,0,0,0.121,0.118,0,217,86.2,8.6,2407,87.2,86.9,77,196,22,-0.3,6.55,113,155,124,150,294,321,294,-1.21
368,605135,"Bassitt, Chris",2381,15.5,0,0,0,0,0,0.128,0.119,0,365,85.7,14.8,2202,87.1,87.19,107,345,23,0.1,6.34,114,149,123,152,299,327,300,-1.24
182,605507,"Thompson, Zach",1194,15.2,0,0,0,0,0,0.146,0.139,0,180,86.3,12.1,2340,86.5,86.6,44,174,8,0.1,6.32,107,151,121,149,296,319,286,-1.25
393,425844,"Greinke, Zack",2577,15.3,0,0,0,0,0,0.167,0.156,0,386,85.1,9,2133,84.2,83.54,66,364,29,-0.7,5.93,114,156,118,151,290,324,292,-1.25
61,468504,"Chacín, Jhoulys",1070,5.7,0,0,0,0,0,0.151,0.143,0,59,82.6,4,2274,87.1,86.89,7,55,6,-0.2,5.92,108,148,120,142,298,327,300,-1.3
349,605288,"Houser, Adrian",2352,14.8,0,0,0,0,0,0.141,0.138,0,342,83,-1.8,2045,90.9,91.39,64,325,24,0.5,6.53,108,151,117,147,298,318,293,-1.32
447,605397,"Musgrove, Joe",2938,15.2,0,0,0,0,0,0.131,0.126,0,439,85.1,10.7,2696,86.7,86.03,134,407,40,-0.7,5.9,115,153,135,146,297,320,308,-1.33
46,448855,"Guerra, Junior",1225,3.8,0,0,0,0,0,0.122,0.118,0,46,83,7.9,1962,88.7,88.79,13,43,3,0.1,6.41,110,155,120,148,301,326,296,-1.33
268,502179,"Espino, Paolo",1735,15.4,0,0,0,0,0,0.143,0.134,0,261,83.9,17.4,2485,82,82.17,61,249,19,0.2,6.52,110,156,124,146,298,321,294,-1.33
310,615698,"Quantrill, Cal",2357,13.2,0,0,0,0,0,0.128,0.123,0,305,83,12.9,2038,90.6,91.24,49,272,38,0.6,6.48,113,154,122,150,290,314,291,-1.35
83,429722,"Santana, Ervin",1063,7.8,0,0,0,0,0,0.19,0.177,0,82,87.2,16.6,2248,88.5,88.25,20,80,3,-0.2,6.03,106,154,118,143,302,323,299,-1.37
333,641745,"Keller, Brad",2348,14.2,0,0,0,0,0,0.177,0.153,0,323,87.9,7.8,2368,91,90.1,78,302,31,-0.9,5.85,107,158,117,145,296,321,303,-1.38
244,656731,"Megill, Tylor",1554,15.7,0,0,0,0,0,0.109,0.096,0,240,85,13,1984,90.1,91.66,80,231,13,1.6,7.2,111,157,118,149,300,325,295,-1.39
139,656546,"Hoffman, Jeff",1360,10.2,0,0,0,0,0,0.164,0.151,0,136,86.4,16.5,2340,88.9,89.11,36,133,6,0.2,6.48,110,153,118,147,293,317,287,-1.41
60,500610,"Guerra, Deolis",1086,5.5,0,0,0,0,0,0.137,0.123,0,60,86.9,24.4,2046,85.3,86.52,16,54,6,1.2,7.15,115,151,127,152,295,326,303,-1.42
243,592826,"Velasquez, Vince",1750,13.9,0,0,0,0,0,0.136,0.12,0,242,87.3,21.6,2268,89.5,89.89,61,221,22,0.4,6.5,110,152,119,147,300,323,296,-1.43
425,605540,"Woodruff, Brandon",2810,15.1,0,0,0,0,0,0.129,0.119,0,418,83.5,9.5,2364,92.4,92.27,131,380,45,-0.1,6.46,110,153,120,148,299,322,297,-1.43
266,664353,"Urquidy, José",1631,16.3,0,0,0,0,0,0.158,0.14,0,263,85.7,22.7,2220,87.7,87.23,68,259,7,-0.5,6.02,114,157,124,152,293,325,292,-1.47
67,592644,"Plutko, Adam",1014,6.6,0,0,0,0,0,0.129,0.124,0,65,87.5,17.9,2342,89,88.65,18,62,5,-0.4,6.08,110,152,119,148,299,319,294,-1.52
353,607200,"Fedde, Erick",2410,14.6,0,0,0,0,0,0.151,0.14,0,340,84.3,2.3,1993,88.7,89.24,85,320,33,0.5,6.7,110,153,122,145,300,321,293,-1.52
315,608379,"Wacha, Michael",1974,16,0,0,0,0,0,0.165,0.149,0,310,87.3,13.6,1879,90.1,90.73,90,300,15,0.6,6.76,106,154,118,148,301,325,294,-1.54
325,666120,"Anderson, Ian",2175,14.9,0,0,0,0,0,0.136,0.13,0,319,83.4,6.2,1888,90.3,91.13,89,299,26,0.8,6.91,108,151,128,147,300,319,292,-1.54
425,608337,"Giolito, Lucas",2970,14.3,0,0,0,0,0,0.129,0.116,0,421,84.5,19.4,1922,86.8,87.59,140,398,27,0.8,6.69,112,152,118,150,301,319,296,-1.56
378,592791,"Taillon, Jameson",2372,15.9,0,0,0,0,0,0.135,0.116,0,372,85.7,22.2,2463,90.3,90.96,108,359,19,0.7,6.69,111,155,124,147,298,326,288,-1.56
53,608335,"Funkhouser, Kyle",1189,4.5,0,0,0,0,0,0.133,0.137,0,52,84,-1.8,2159,92.8,93.38,15,50,3,0.6,6.56,107,150,118,146,294,322,298,-1.58
25,608717,"Stratton, Chris",1374,1.8,0,0,0,0,0,0.083,0.083,0,24,88.1,24.5,2711,88.8,89.32,6,21,4,0.5,6.52,109,150,123,148,296,320,287,-1.59
412,506433,"Darvish, Yu",2769,14.9,0,0,0,0,0,0.109,0.101,0,408,85.1,16.9,2578,87.3,87,125,367,45,-0.3,6.26,117,154,138,147,296,320,310,-1.6
152,664299,"Javier, Cristian",1792,8.5,0,0,0,0,0,0.125,0.109,0,150,88.8,26.6,2419,88.2,87.66,55,136,16,-0.5,5.99,112,156,121,151,292,325,291,-1.6
200,607192,"Glasnow, Tyler",1339,14.9,0,0,0,0,0,0.109,0.097,0,200,88.3,13.5,2656,91.1,92.69,78,180,20,1.6,7.33,109,159,123,151,301,321,294,-1.61
457,554430,"Wheeler, Zack",3205,14.3,0,0,0,0,0,0.123,0.119,0,448,81.1,5.6,2363,94.2,95.27,121,399,58,1.1,7.16,112,152,116,149,294,321,291,-1.61
161,656288,"Canning, Griffin",1080,14.9,0,0,0,0,0,0.131,0.121,0,160,85.5,20.2,2311,89.9,88.52,40,147,14,-1.4,5.81,116,159,120,152,301,324,300,-1.63
275,656605,"Keller, Mitch",1858,14.8,0,0,0,0,0,0.149,0.139,0,268,87.4,10.8,2377,89.7,89.48,63,251,24,-0.2,6.09,108,150,121,148,299,319,290,-1.63
401,621121,"McCullers Jr., Lance",2788,14.4,0,0,0,0,0,0.129,0.124,0,399,88,3.4,2491,88.4,87.74,119,366,35,-0.7,5.96,112,156,122,151,289,320,289,-1.64
443,656302,"Cease, Dylan",2957,15,0,0,0,0,0,0.127,0.103,0,435,86.2,21,2638,89.8,88.97,158,397,46,-0.8,6.03,112,152,117,149,299,320,296,-1.64
390,677651,"Garcia, Luis",2502,15.6,0,0,0,0,0,0.138,0.124,0,383,84.1,16.1,2312,87.1,86.97,122,362,28,-0.1,6.19,114,156,121,151,293,322,291,-1.65
121,642092,"Smith, Riley",1071,11.3,0,0,0,0,0,0.19,0.178,0,118,87.2,6.3,2153,88.2,88.24,9,114,7,0,6.36,110,151,121,150,302,330,302,-1.65
379,518876,"Kelly, Merrill",2425,15.6,0,0,0,0,0,0.154,0.15,0,369,84.5,12.2,2307,88.6,88.54,75,349,30,-0.1,6.28,110,153,121,151,299,326,298,-1.68
248,545333,"Bauer, Trevor",1787,13.9,0,0,0,0,0,0.124,0.114,0,247,87.6,20.5,2809,88.1,82.47,77,213,35,-5.6,6.42,114,158,121,150,297,316,290,-1.69
237,593334,"Germán, Domingo",1579,15,0,0,0,0,0,0.149,0.134,0,236,86.3,18.7,2460,88.4,88.01,59,221,16,-0.4,6.11,109,156,124,147,297,327,292,-1.7
43,572955,"Johnson, Pierce",1045,4.1,0,0,0,0,0,0.086,0.078,0,42,85.7,18.9,2737,87,86.23,17,39,4,-0.8,5.76,117,150,136,145,300,323,311,-1.7
408,601713,"Pivetta, Nick",2745,14.9,0,0,0,0,0,0.13,0.119,0,403,86.7,18.3,2395,88.7,88.99,112,364,44,0.3,6.57,113,156,123,149,290,327,299,-1.7
60,664208,"Maton, Phil",1174,5.1,0,0,0,0,0,0.088,0.079,0,58,86.8,10.8,2663,85.7,87.18,24,51,9,1.5,7.13,114,155,123,149,292,322,294,-1.73
304,605347,"López, Jorge",2166,14,0,0,0,0,0,0.15,0.145,0,300,86,5.7,2007,91.4,91.53,61,265,39,0.1,6.37,109,153,121,149,301,321,294,-1.75
408,543101,"DeSclafani, Anthony",2558,15.9,0,0,0,0,0,0.144,0.131,0,402,84.9,8.7,2108,90.3,90.26,94,376,32,0,6.56,111,155,119,149,298,321,294,-1.76
429,608566,"Márquez, Germán",2788,15.4,0,0,0,0,0,0.14,0.138,0,424,84.7,1.5,2335,90.3,89.26,118,404,25,-1,5.33,111,151,120,147,298,329,303,-1.78
249,592346,"González, Chi Chi",1635,15.2,0,0,0,0,0,0.19,0.172,0,245,85.7,9.6,2325,88.5,87.56,32,230,19,-0.9,5.86,111,152,121,148,297,330,302,-1.81
320,640444,"Crowe, Wil",2171,14.7,0,0,0,0,0,0.135,0.13,0,316,85.1,12.1,2345,87.9,88.3,82,296,24,0.4,6.42,110,151,122,149,299,319,289,-1.81
296,640470,"Alzolay, Adbert",1955,15.1,0,0,0,0,0,0.147,0.137,0,290,84.8,6.5,2386,89.7,89.93,69,263,33,0.2,6.28,113,157,120,151,294,320,296,-1.81
443,605400,"Nola, Aaron",2971,14.9,0,0,0,0,0,0.105,0.097,0,438,85.1,14.2,2168,86.4,87.07,144,394,49,0.7,6.81,111,151,118,148,296,322,293,-1.82
